"項目","単位","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","2006_H18","2007_H19","2008_H20","2009_H21","2010_H22","2011_H23","2012_H24","2013_H25","2014_H26","2015_H27","有効数字(少数桁)"
"女_由良町","","4782.0","4689.0","4604.0","4564.0","4528.0","4442.0","4396.0","4325.0","4300.0","4236.0","4197.0","4174.0","4093.0","4019.0","3958.0","3957.0","3912.0","3865.0","3861.0","3786.0","3731.0","3649.0","3587.0","3523.0","3430.0","3361.0","3267.0","3154.0","3125.0","3061.0","2979.0",""
"女_印南町","","5562.0","5541.0","5533.0","5491.0","5447.0","5381.0","5327.0","5277.0","5267.0","5227.0","5233.0","5172.0","5123.0","5085.0","5052.0","5098.0","5085.0","5023.0","4971.0","4944.0","4836.0","4784.0","4726.0","4675.0","4601.0","4562.0","4543.0","4458.0","4429.0","4352.0","4286.0",""
"女_みなべ町","","7935.0","7905.0","7908.0","7920.0","7862.0","7834.0","7825.0","7799.0","7784.0","7785.0","7795.0","7789.0","7757.0","7721.0","7729.0","7696.0","7654.0","7608.0","7567.0","7493.0","7435.0","7380.0","7346.0","7229.0","7134.0","7065.0","7012.0","6898.0","6860.0","6785.0","6682.0",""
"女_日高川町","","6218.0","6212.0","6196.0","6181.0","6124.0","6134.0","6079.0","6051.0","6091.0","6068.0","6056.0","6080.0","6102.0","6087.0","6051.0","6028.0","6028.0","5993.0","5990.0","5951.0","5958.0","5886.0","5814.0","5718.0","5633.0","5558.0","5460.0","5404.0","5333.0","5241.0","5152.0",""
"女_白浜町","","13478.0","13372.0","13388.0","13328.0","13286.0","13206.0","13159.0","13154.0","13181.0","13170.0","13269.0","13265.0","13329.0","13315.0","13221.0","13139.0","13080.0","13033.0","12896.0","12818.0","12664.0","12566.0","12525.0","12463.0","12406.0","12317.0","12207.0","12009.0","11828.0","11709.0","11612.0",""
"女_上富田町","","6506.0","6586.0","6625.0","6654.0","6784.0","6782.0","6843.0","6868.0","6956.0","7020.0","7109.0","7166.0","7241.0","7346.0","7437.0","7538.0","7573.0","7640.0","7707.0","7745.0","7751.0","7786.0","7771.0","7852.0","7804.0","7790.0","7791.0","7883.0","7837.0","7845.0","7869.0",""
"女_すさみ町","","3623.0","3588.0","3545.0","3501.0","3449.0","3386.0","3366.0","3303.0","3288.0","3267.0","3237.0","3256.0","3252.0","3207.0","3180.0","3180.0","3150.0","3067.0","3001.0","2943.0","2849.0","2762.0","2706.0","2644.0","2558.0","2489.0","2426.0","2340.0","2312.0","2238.0","2163.0",""
"女_那智勝浦町","","11815.0","11677.0","11528.0","11377.0","11246.0","11052.0","11004.0","10872.0","10773.0","10837.0","10763.0","10660.0","10655.0","10603.0","10526.0","10451.0","10380.0","10265.0","10020.0","9918.0","9831.0","9700.0","9603.0","9497.0","9415.0","9292.0","9128.0","8947.0","8799.0","8662.0","8501.0",""
"女_太地町","","2379.0","2357.0","2319.0","2321.0","2286.0","2270.0","2219.0","2185.0","2199.0","2189.0","2173.0","2174.0","2151.0","2128.0","2116.0","2102.0","2048.0","2032.0","2031.0","2002.0","1955.0","1934.0","1912.0","1873.0","1819.0","1791.0","1770.0","1756.0","1741.0","1715.0","1691.0",""
"女_古座川町","","2423.0","2409.0","2387.0","2356.0","2301.0","2258.0","2212.0","2159.0","2117.0","2102.0","2096.0","2091.0","2076.0","2101.0","2070.0","2064.0","2032.0","1995.0","1958.0","1931.0","1900.0","1855.0","1824.0","1788.0","1771.0","1726.0","1706.0","1673.0","1628.0","1577.0","1552.0",""
"女_北山村","","373.0","365.0","372.0","345.0","329.0","320.0","318.0","317.0","315.0","316.0","318.0","322.0","325.0","324.0","328.0","326.0","315.0","316.0","315.0","305.0","290.0","279.0","270.0","271.0","260.0","262.0","260.0","248.0","244.0","239.0","247.0",""
"女_串本町","","13443.0","13328.0","13240.0","13070.0","13008.0","12885.0","12745.0","12520.0","12375.0","12252.0","12129.0","11982.0","11887.0","11742.0","11651.0","11596.0","11395.0","11312.0","11204.0","10952.0","10750.0","10579.0","10350.0","10122.0","9933.0","9749.0","9499.0","9319.0","9173.0","9003.0","8791.0",""
